experiment	smiles	composite	qed	bbb_score	cns_mpo	cogn_pharm	pains	note
baseline	Cn1cnc2c1c(=O)n(C)c(=O)n2C	0.6477	0.5385	0.7435	1.0	0.2	CLEAN	Caffeine — xanthine baseline
baseline	NC(=O)CN1CCCC1=O	0.717	0.5424	0.7379	1.0	0.55	CLEAN	Piracetam — racetam prototype
baseline	O=C1CCN1CC(=O)c1ccccc1	0.7218	0.5272	1.0	1.0	0.2	CLEAN	Aniracetam — AMPA modulator
baseline	NC(=O)CS(=O)C(c1ccccc1)c1ccccc1	0.8162	0.9055	0.9994	1.0	0.2	CLEAN	Modafinil — wakefulness agent, BEST BASELINE
baseline	COc1cc2c(cc1OC)C(=O)CC2CC1CCN(Cc2ccccc2)CC1	0.6663	0.7307	0.7205	0.75	0.4	CLEAN	Donepezil — AChE inhibitor
exp_01	CN(C)C(=O)CN1CCCC1=O	0.7276	0.5547	0.75	1.0	0.55	CLEAN	N,N-dimethyl piracetam — low QED
exp_01	CN(C)C(=O)CN1CCC(c2ccccc2)C1=O	0.8602	0.8398	1.0	1.0	0.55	CLEAN	4-phenyl-pyrrolidone-NNdm — NEW BEST, in PubChem
exp_01	O=C1CCCN1CC(=O)c1ccccc1	0.8345	0.7562	1.0	1.0	0.55	CLEAN	pyrrolidone-aniracetam — in PubChem
exp_01	CN(C)C(=O)C(O)N1CCCC1=O	0.7347	0.5465	0.747	1.0	0.55	CLEAN	oxiracetam-dimethyl — hydroxyl hurts BBB
exp_01	CN(C)C(=O)C(c1ccccc1)N1CCCC1=O	0.8623	0.8094	1.0	1.0	0.55	CLEAN	phenyl-piracetam-NNdm — NEW BEST 0.8623, in PubChem
exp_02	CN(C)C(=O)C(c1ccc(F)cc1)N1CCCC1=O	0.8678	0.8313	1.0	1.0	0.55	CLEAN	4F-phenyl-piracetam-NNdm — NEW BEST, in PubChem
